remap_index,tmdb_id,type,packed_value,frequency
0,565,movie,1130,538
1,9656,movie,19312,511
2,913290,movie,1826580,489
3,10066,movie,20132,487
4,2662,movie,5324,474
5,948,movie,1896,467
6,424139,movie,848278,437
7,9373,movie,18746,436
8,420634,movie,841268,418
9,4232,movie,8464,412
10,41446,movie,82892,412
11,82507,movie,165014,411
12,663712,movie,1327424,411
13,493922,movie,987844,410
14,270303,movie,540606,409
15,588,movie,1176,402
16,11908,movie,23816,399
17,176,movie,352,398
18,10226,movie,20452,396
19,4234,movie,8468,394
20,30497,movie,60994,384
21,157547,movie,315094,384
22,2082,movie,4164,371
23,22970,movie,45940,371
24,13207,movie,26414,367
25,619778,movie,1239556,364
26,23437,movie,46874,361
27,377,movie,754,354
28,4488,movie,8976,354
29,9877,movie,19754,354
30,646385,movie,1292770,351
31,109428,movie,218856,347
32,8617,movie,17234,345
33,10069,movie,20138,345
34,65086,movie,130172,340
35,83899,movie,167798,340
36,9544,movie,19088,339
37,10665,movie,21330,338
38,694,movie,1388,333
39,11547,movie,23094,326
40,14435,movie,28870,326
41,16938,movie,33876,325
42,3021,movie,6042,314
43,138843,movie,277686,312
44,10070,movie,20140,306
45,8555,movie,17110,304
46,11056,movie,22112,303
47,345911,movie,691822,302
48,122906,movie,245812,301
49,882598,movie,1765196,298
50,13515,movie,27030,296
51,210577,movie,421154,296
52,84348,movie,168696,289
53,632727,movie,1265454,288
54,49018,movie,98036,286
55,72844,tvshow,145689,282
56,4233,movie,8466,281
57,1232546,movie,2465092,279
58,14001,movie,28002,278
59,1690,movie,3380,276
60,9392,movie,18784,276
61,760104,movie,1520208,275
62,6466,movie,12932,274
63,11631,movie,23262,273
64,764,movie,1528,268
65,1933,movie,3866,267
66,1999,movie,3998,267
67,866463,movie,1732926,262
68,1071215,movie,2142430,262
69,9902,movie,19804,261
70,13567,movie,27134,259
71,321258,movie,642516,259
72,2668,movie,5336,255
73,10781,movie,21562,255
74,43931,movie,87862,255
75,85350,movie,170700,254
76,10185,movie,20370,253
77,157433,movie,314866,253
78,530385,movie,1060770,251
79,322,movie,644,250
80,9362,movie,18724,250
