remap_index,tmdb_id,type,packed_value,frequency
0,122906,movie,245812,191
1,4348,movie,8696,184
2,1999,movie,3998,179
3,9656,movie,19312,173
4,565,movie,1130,171
5,85350,movie,170700,165
6,948,movie,1896,162
7,10226,movie,20452,159
8,14,movie,28,155
9,663712,movie,1327424,153
10,2662,movie,5324,152
11,588,movie,1176,151
12,424139,movie,848278,151
13,9373,movie,18746,150
14,176,movie,352,148
15,2082,movie,4164,147
16,10066,movie,20132,145
17,913290,movie,1826580,144
18,11036,movie,22072,142
19,16619,movie,33238,138
20,30497,movie,60994,137
21,41446,movie,82892,137
22,420634,movie,841268,137
23,11631,movie,23262,136
24,116,movie,232,131
25,2024,movie,4048,131
26,142,movie,284,130
27,9428,movie,18856,130
28,4232,movie,8464,129
29,824,movie,1648,128
30,46705,movie,93410,128
31,331482,movie,662964,127
32,398818,movie,797636,127
33,4234,movie,8468,126
34,23437,movie,46874,126
35,493922,movie,987844,125
36,377,movie,754,124
37,8346,movie,16692,124
38,11093,movie,22186,124
39,270303,movie,540606,124
40,23169,movie,46338,123
41,157547,movie,315094,123
42,210577,movie,421154,123
43,872,movie,1744,122
44,4347,movie,8694,122
45,80,movie,160,121
46,694,movie,1388,120
47,334541,movie,669082,120
48,37247,movie,74494,119
49,9544,movie,19088,116
50,458423,movie,916846,116
51,322,movie,644,115
52,9522,movie,19044,115
53,619778,movie,1239556,115
54,4476,movie,8952,114
55,4613,tvshow,9227,114
56,11908,movie,23816,114
57,10781,movie,21562,113
58,313369,movie,626738,113
59,2288,movie,4576,112
60,4488,movie,8976,112
61,8555,movie,17110,112
62,82507,movie,165014,112
63,38,movie,76,111
64,857,movie,1714,111
65,5038,movie,10076,111
66,16938,movie,33876,111
67,83899,movie,167798,111
68,51828,movie,103656,110
69,9877,movie,19754,109
70,11056,movie,22112,108
71,770,movie,1540,107
72,4148,movie,8296,107
73,7191,movie,14382,107
74,10185,movie,20370,107
75,289,movie,578,106
76,9362,movie,18724,105
77,86825,movie,173650,105
78,2976,movie,5952,104
79,10070,movie,20140,104
